Month,Total,Change
Jan,136741.7116,UP
Feb,675863.7912,UP
Mar,171708.6389,DOWN
Apr,230999.8559,UP
May,687709.3271,UP
Jun,124768.4386,DOWN
Jul,136704.009,UP
Aug,598937.0082,UP
Sep,138321.4019,DOWN
Oct,146052.4731,UP
Nov,550665.2489,UP
Dec,125048.6372,DOWN
Jan,158579.3482,UP
Feb,783799.1662,UP
Mar,199130.4901,DOWN
Apr,267890.5081,UP
May,797536.4329,UP
Jun,144693.9449,DOWN
Jul,158535.6246,UP
Aug,694587.1842,UP
Sep,160411.3149,DOWN
Oct,169377.0374,UP
Nov,638606.4301,UP
Dec,145018.8911,DOWN
Jan,146561.32,UP
Feb,724398.49,UP
Mar,184039.27,DOWN
Apr,247588.27,UP
May,737094.67,UP
Jun,133728.23,DOWN
Jul,146520.91,UP
Aug,641947.49,UP
Sep,148254.45,DOWN
Oct,156540.7,UP
Nov,590209.27,UP
Dec,134028.55,DOWN
